Athlete,Age,Country,Year,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Meb Keflezighi,29,United States,2004,0,1,0,1
Megan Dirkmaat,28,United States,2004,0,1,0,1
Megan Hodge,23,United States,2012,0,1,0,1
Megan Kalmoe,28,United States,2012,0,0,1,1
Megan Quann-Jendrick,16,United States,2000,2,0,0,2
Megan Quann-Jendrick,24,United States,2008,0,1,0,1
Megan Rapinoe,27,United States,2012,1,0,0,1
Meghan Duggan,22,United States,2010,0,1,0,1
Meghan Musnicki,29,United States,2012,1,0,0,1
Melissa Morrison,33,United States,2004,0,0,1,1
Melissa Morrison,29,United States,2000,0,0,1,1
Melissa Seidemann,22,United States,2012,1,0,0,1
Merrill Moses,30,United States,2008,0,1,0,1
Meryl Davis,23,United States,2010,0,1,0,1
Mia Hamm,32,United States,2004,1,0,0,1
Mia Hamm,28,United States,2000,0,1,0,1
Micah Boyd,26,United States,2008,0,0,1,1
Michael Anti,40,United States,2004,0,1,0,1
Michael Johnson,33,United States,2000,1,0,0,1
Michael Phelps,23,United States,2008,8,0,0,8
Michael Phelps,19,United States,2004,6,0,2,8
Michael Phelps,27,United States,2012,4,2,0,6
Michael Redd,28,United States,2008,1,0,0,1
Michael Tinsley,28,United States,2012,0,1,0,1
Michele Smith,33,United States,2000,1,0,0,1
Michelle Guerette,27,United States,2008,0,1,0,1
Michelle Kwan,21,United States,2002,0,0,1,1
Michelle Venturella,27,United States,2000,1,0,0,1
Mike Bryan,34,United States,2012,1,0,1,2
Mike Bryan,30,United States,2008,0,0,1,1
Mike Day,23,United States,2008,0,1,0,1
Mike Dunham,29,United States,2002,0,1,0,1
Mike Hessman,30,United States,2008,0,0,1,1
Mike Kinkade,27,United States,2000,1,0,0,1
Mike Kohn,29,United States,2002,0,0,1,1
Mike Koplove,31,United States,2008,0,0,1,1
Mike Modano,31,United States,2002,0,1,0,1
Mike Neill,30,United States,2000,1,0,0,1
Mike Richter,35,United States,2002,0,1,0,1
Mike York,24,United States,2002,0,1,0,1
Missy Franklin,17,United States,2012,4,0,1,5
Missy Schwen-Ryan,28,United States,2000,0,0,1,1
Misty Hyman,21,United States,2000,1,0,0,1
Misty May-Treanor,34,United States,2012,1,0,0,1
Misty May-Treanor,31,United States,2008,1,0,0,1
Misty May-Treanor,27,United States,2004,1,0,0,1
Mo O'Toole,39,United States,2000,0,1,0,1
Mohini Bhardwaj,25,United States,2004,0,1,0,1
Molly Engstrom,26,United States,2010,0,1,0,1
Molly Engstrom,22,United States,2006,0,0,1,1
Molly Schaus,21,United States,2010,0,1,0,1
Monica Abbott,23,United States,2008,0,1,0,1
Monica Seles,26,United States,2000,0,0,1,1
Monique Henderson,25,United States,2008,1,0,0,1
Monique Henderson,21,United States,2004,1,0,0,1
Monique Hennagan,28,United States,2004,1,0,0,1
Monique Hennagan,24,United States,2000,1,0,0,1
Monique Lamoureux,20,United States,2010,0,1,0,1
Morgan Hamm,21,United States,2004,0,1,0,1
Moriah Van Norman,24,United States,2008,0,1,0,1
Moushaumi Robinson,23,United States,2004,1,0,0,1
Nanceen Perry,23,United States,2000,0,0,1,1
Nancy Napolski-Johnson,26,United States,2000,1,0,0,1
Nastia Liukin,18,United States,2008,1,3,1,5
Natalie Coughlin,25,United States,2008,1,2,3,6
Natalie Coughlin,21,United States,2004,2,2,1,5
Natalie Coughlin,29,United States,2012,0,0,1,1
Natalie Darwitz,26,United States,2010,0,1,0,1
Natalie Darwitz,22,United States,2006,0,0,1,1
Natalie Darwitz,18,United States,2002,0,1,0,1
Natalie Dell,27,United States,2012,0,0,1,1
Natalie Golda,26,United States,2008,0,1,0,1
Natalie Golda,22,United States,2004,0,0,1,1
Natalie Williams,29,United States,2000,1,0,0,1
Natasha Hastings,22,United States,2008,1,0,0,1
Natasha Watley,26,United States,2008,0,1,0,1
Natasha Watley,22,United States,2004,1,0,0,1
Nate Dusing,25,United States,2004,0,0,1,1
Nate Dusing,21,United States,2000,0,1,0,1
Nate Schierholtz,24,United States,2008,0,0,1,1
Nathan Adrian,23,United States,2012,2,1,0,3
Nathan Adrian,19,United States,2008,1,0,0,1
Neil Walker,28,United States,2004,1,0,1,2
Neil Walker,24,United States,2000,1,1,0,2
Nia Abdallah,20,United States,2004,0,1,0,1
Nick Hysong,28,United States,2000,1,0,0,1
Nick McCrory,20,United States,2012,0,0,1,1
Nick Thoman,26,United States,2012,1,1,0,2
Nicole Davis,30,United States,2012,0,1,0,1
Nicole Davis,26,United States,2008,0,1,0,1
Nicolle Payne,24,United States,2000,0,1,0,1
Nikki McCray,28,United States,2000,1,0,0,1
Nikki Serlenga,22,United States,2000,0,1,0,1
Nina Fout,41,United States,2000,0,0,1,1
Ogonna Nnamani,25,United States,2008,0,1,0,1
Otis Harris,22,United States,2004,1,1,0,2
Paige McPherson,21,United States,2012,0,0,1,1
Pam Dreyer,24,United States,2006,0,0,1,1
Passion Richardson,25,United States,2000,0,0,1,1
Pat Borders,37,United States,2000,1,0,0,1
Patricia Miranda,25,United States,2004,0,0,1,1
Patrick Kane,21,United States,2010,0,1,0,1
Patty Cardenas,23,United States,2008,0,1,0,1
Paul Foerster,40,United States,2004,1,0,0,1
Paul Foerster,36,United States,2000,0,1,0,1
Paul Hamm,21,United States,2004,1,2,0,3
Paul Stastny,24,United States,2010,0,1,0,1
Pease Glaser,38,United States,2000,0,1,0,1
Pete Cipollone,33,United States,2004,1,0,0,1
Pete Fenson,37,United States,2006,0,0,1,1
Peter Hudnut,28,United States,2008,0,1,0,1
Peter Vanderkaay,24,United States,2008,1,0,1,2
Peter Vanderkaay,28,United States,2012,0,0,1,1
Peter Vanderkaay,20,United States,2004,1,0,0,1
Peter Varellas,23,United States,2008,0,1,0,1
Peter Wylde,39,United States,2004,1,0,0,1
Phil Dalhausser,28,United States,2008,1,0,0,1
Phil Housley,37,United States,2002,0,1,0,1
Phil Kessel,22,United States,2010,0,1,0,1
Rachel Bootsma,18,United States,2012,1,0,0,1
Rachel Buehler,26,United States,2012,1,0,0,1
Rachel Buehler,22,United States,2008,1,0,0,1
Rachel Komisarz,27,United States,2004,1,1,0,2
Raj Bhavsar,27,United States,2008,0,0,1,1
Randi Miller,24,United States,2008,0,0,1,1
Randy Jones,32,United States,2002,0,1,0,1
Ray Allen,25,United States,2000,1,0,0,1
Rebecca Giddens,26,United States,2004,0,1,0,1
Rebecca Jasontek,29,United States,2004,0,0,1,1
Rebecca Soni,25,United States,2012,2,1,0,3
Rebecca Soni,21,United States,2008,1,2,0,3
Reese Hoffa,34,United States,2012,0,0,1,1
Regi Witherspoon,23,United States,2008,1,0,0,1
Reid Priddy,30,United States,2008,1,0,0,1
Rhi Jeffrey,17,United States,2004,1,0,0,1
Ricardo Juarez,20,United States,2000,0,1,0,1
Ricardo Williams Jr.,19,United States,2000,0,1,0,1
Rich Lambourne,33,United States,2008,1,0,0,1
Richard Jefferson,24,United States,2004,0,0,1,1
Rick Krivda,30,United States,2000,1,0,0,1
Rick Merlo,26,United States,2008,0,1,0,1
Ricky Berens,24,United States,2012,1,1,0,2
Ricky Berens,20,United States,2008,1,0,0,1
Riley Salmon,32,United States,2008,1,0,0,1
Ritz Correia,22,United States,2004,0,1,0,1
Robert Dover,48,United States,2004,0,0,1,1
Robert Dover,44,United States,2000,0,0,1,1
Robin Beauregard,25,United States,2004,0,0,1,1
Robin Beauregard,21,United States,2000,0,1,0,1
Robyn Ah Mow-Santos,32,United States,2008,0,1,0,1
Rod White,23,United States,2000,0,0,1,1
Ronda Rousey,21,United States,2008,0,0,1,1
Rosey Fletcher,30,United States,2006,0,0,1,1
Ross Powers,23,United States,2002,1,0,0,1
Roy Oswalt,23,United States,2000,1,0,0,1
Rulon Gardner,33,United States,2004,0,0,1,1
Rulon Gardner,29,United States,2000,1,0,0,1
Russell Westbrook,23,United States,2012,1,0,0,1
Rusty Smith,26,United States,2006,0,0,1,1
Rusty Smith,22,United States,2002,0,0,1,1
Ruth Riley,24,United States,2004,1,0,0,1
Ruthie Bolton-Holifield,33,United States,2000,1,0,0,1
Ryan Bailey,32,United States,2008,0,1,0,1
Ryan Bailey,23,United States,2012,0,1,0,1
Ryan Callahan,24,United States,2010,0,1,0,1
Ryan Franklin,27,United States,2000,1,0,0,1
Ryan Kesler,25,United States,2010,0,1,0,1
Ryan Lochte,27,United States,2012,2,2,1,5
Ryan Lochte,24,United States,2008,2,0,2,4
Ryan Lochte,20,United States,2004,1,1,0,2
Ryan Malone,30,United States,2010,0,1,0,1
Ryan Millar,30,United States,2008,1,0,0,1
Ryan Miller,29,United States,2010,0,1,0,1
Ryan Suter,25,United States,2010,0,1,0,1
Ryan Whitney,26,United States,2010,0,1,0,1
Sada Jacobson,25,United States,2008,0,1,1,2
Sada Jacobson,21,United States,2004,0,0,1,1
Sam Arsenault,18,United States,2000,1,0,0,1
Sam Magee,21,United States,2004,0,1,0,1
Samantha Peszek,16,United States,2008,0,1,0,1
Sammie Henson,29,United States,2000,0,1,0,1
Sanya Richards-Ross,27,United States,2012,2,0,0,2
Sanya Richards-Ross,23,United States,2008,1,0,1,2
Sanya Richards-Ross,19,United States,2004,1,0,0,1
Sara DeCosta,24,United States,2002,0,1,0,1
Sara Lowe,20,United States,2004,0,0,1,1
Sara McMann,23,United States,2004,0,1,0,1
Sarah Garner,29,United States,2000,0,0,1,1
Sarah Hammer,28,United States,2012,0,2,0,2
Sarah Hughes,16,United States,2002,1,0,0,1
Sarah Parsons,18,United States,2006,0,0,1,1
Sarah Tueting,25,United States,2002,0,1,0,1
Sasha Artemev,22,United States,2008,0,0,1,1
Sasha Cohen,21,United States,2006,0,1,0,1
Scott Gault,29,United States,2012,0,0,1,1
Scott Goldblatt,25,United States,2004,1,0,0,1
Scott Goldblatt,21,United States,2000,0,1,0,1
Scott Touzinsky,26,United States,2008,1,0,0,1
Scott Tucker,24,United States,2000,0,1,0,1
Scott Young,34,United States,2002,0,1,0,1
Scotty Lago,22,United States,2010,0,0,1,1
Sean Burroughs,20,United States,2000,1,0,0,1
Sean Rooney,25,United States,2008,1,0,0,1
Sebastian Bea,23,United States,2000,0,1,0,1
Seimone Augustus,28,United States,2012,1,0,0,1
Seimone Augustus,24,United States,2008,1,0,0,1
Serena Williams,30,United States,2012,2,0,0,2
Serena Williams,26,United States,2008,1,0,0,1
Serena Williams,18,United States,2000,1,0,0,1
Seth Wescott,33,United States,2010,1,0,0,1
Seth Wescott,29,United States,2006,1,0,0,1
Shalane Flanagan,27,United States,2008,0,0,1,1
Shane Heams,24,United States,2000,1,0,0,1
Shani Davis,27,United States,2010,1,1,0,2
Shani Davis,23,United States,2006,1,1,0,2
Shannon Bahrke,29,United States,2010,0,0,1,1
Shannon Bahrke,21,United States,2002,0,1,0,1
Shannon Boxx,35,United States,2012,1,0,0,1
Shannon Boxx,31,United States,2008,1,0,0,1
Shannon Boxx,27,United States,2004,1,0,0,1
Shannon Johnson,29,United States,2004,1,0,0,1
Shannon MacMillan,25,United States,2000,0,1,0,1
Shannon Vreeland,20,United States,2012,1,0,0,1
Shareef Abdur-Rahim,23,United States,2000,1,0,0,1
Shaun White,23,United States,2010,1,0,0,1
Shaun White,19,United States,2006,1,0,0,1
Shauna Rohbock,28,United States,2006,0,1,0,1
Shawn Crawford,26,United States,2004,1,1,0,2
Shawn Crawford,30,United States,2008,0,1,0,1
Shawn Johnson,16,United States,2008,1,3,0,4
Shawn Marion,26,United States,2004,0,0,1,1
Shawn Rojeski,34,United States,2006,0,0,1,1
Sheena Johnson-Tosta,25,United States,2008,0,1,0,1
Sheila Cornell-Douty,38,United States,2000,1,0,0,1
Shelley Looney,30,United States,2002,0,1,0,1
Sheryl Swoopes,33,United States,2004,1,0,0,1
Sheryl Swoopes,29,United States,2000,1,0,0,1
Simon Cho,18,United States,2010,0,0,1,1
Siri Mullinix,22,United States,2000,0,1,0,1
Stacey Nuveman,30,United States,2008,0,1,0,1
Stacey Nuveman,26,United States,2004,1,0,0,1
Stacey Nuveman,22,United States,2000,1,0,0,1
Staciana Stitts,19,United States,2000,1,0,0,1
Stacy Dragila,29,United States,2000,1,0,0,1
Stacy Sykora,31,United States,2008,0,1,0,1
Stephanie Brown-Trafton,28,United States,2008,1,0,0,1
Stephanie Cox,22,United States,2008,1,0,0,1
Stephanie Nesbitt,19,United States,2004,0,0,1,1
Stephen Abas,26,United States,2004,0,1,0,1
Stephen Strasburg,20,United States,2008,0,0,1,1
Stephon Marbury,27,United States,2004,0,0,1,1
Steve Holcomb,29,United States,2010,1,0,0,1
Steve Mesler,31,United States,2010,1,0,0,1
Steve Smith,31,United States,2000,1,0,0,1
Steven Coppola,24,United States,2008,0,0,1,1
Steven Lopez,29,United States,2008,0,0,1,1
Steven Lopez,25,United States,2004,1,0,0,1
Steven Lopez,21,United States,2000,1,0,0,1
Sue Bird,31,United States,2012,1,0,0,1
Sue Bird,27,United States,2008,1,0,0,1
Sue Bird,23,United States,2004,1,0,0,1
Sue Merz,29,United States,2002,0,1,0,1
Susan Blinks,42,United States,2000,0,0,1,1
Susan Francia,29,United States,2012,1,0,0,1
Susan Francia,25,United States,2008,1,0,0,1
Susan Williams,35,United States,2004,0,0,1,1
Susie Scanlan,22,United States,2012,0,0,1,1
Swin Cash,32,United States,2012,1,0,0,1
Swin Cash,24,United States,2004,1,0,0,1
Sydney Leroux,22,United States,2012,1,0,0,1
Sylvia Fowles,26,United States,2012,1,0,0,1
Sylvia Fowles,22,United States,2008,1,0,0,1
Tairia Flowers,27,United States,2008,0,1,0,1
Tairia Flowers,23,United States,2004,1,0,0,1
Tamari Miyashiro,25,United States,2012,0,1,0,1
Tamika Catchings,33,United States,2012,1,0,0,1
Tamika Catchings,29,United States,2008,1,0,0,1
Tamika Catchings,25,United States,2004,1,0,0,1
Tammy Crow,27,United States,2004,0,0,1,1
Tanith Belbin,21,United States,2006,0,1,0,1
Tara Kirk,22,United States,2004,0,1,0,1
Tara Mounsey,23,United States,2002,0,1,0,1
Tara Nott-Cunningham,28,United States,2000,1,0,0,1
Tasha Kai,25,United States,2008,1,0,0,1
Tasha Schwikert-Warren,15,United States,2000,0,0,1,1
Taylor Ritzel,23,United States,2012,1,0,0,1
Taylor Teagarden,24,United States,2008,0,0,1,1
Tayshaun Prince,28,United States,2008,1,0,0,1
Tayyiba Haneef-Park,33,United States,2012,0,1,0,1
Tayyiba Haneef-Park,29,United States,2008,0,1,0,1
Ted Ligety,21,United States,2006,1,0,0,1
Ted Murphy,28,United States,2000,0,1,0,1
Teresa Edwards,36,United States,2000,1,0,0,1
Terin Humphrey,18,United States,2004,0,2,0,2
Terrence Jennings,26,United States,2012,0,0,1,1
Terrence Trammell,25,United States,2004,0,1,0,1
Terrence Trammell,21,United States,2000,0,1,0,1
Terry Brands,32,United States,2000,0,0,1,1
Terry Tiffee,29,United States,2008,0,0,1,1
Thalia Munro,22,United States,2004,0,0,1,1
Tianna Madison,26,United States,2012,1,0,0,1
Tiffeny Milbrett,27,United States,2000,0,1,0,1
Tim Duncan,28,United States,2004,0,0,1,1
Tim Gleason,27,United States,2010,0,1,0,1
Tim Hardaway,34,United States,2000,1,0,0,1
Tim Hutten,23,United States,2008,0,1,0,1
Tim Mack,31,United States,2004,1,0,0,1
Tim Montgomery,25,United States,2000,1,0,0,1
Tim Morehouse,30,United States,2008,0,1,0,1
Tim Thomas,35,United States,2010,0,1,0,1
Tim Young,26,United States,2000,1,0,0,1
Timothy Goebel,21,United States,2002,0,0,1,1
Tina Charles,23,United States,2012,1,0,0,1
Tina Thompson,33,United States,2008,1,0,0,1
Tina Thompson,29,United States,2004,1,0,0,1
Tobin Heath,24,United States,2012,1,0,0,1
Tobin Heath,20,United States,2008,1,0,0,1
Toby Dawson,27,United States,2006,0,0,1,1
Toby Stevenson,27,United States,2004,0,1,0,1
Todd Graves,37,United States,2000,0,0,1,1
Todd Hays,32,United States,2002,0,1,0,1
Todd Lodwick,33,United States,2010,0,1,0,1
Todd Rogers,34,United States,2008,1,0,0,1
Todd Williams,29,United States,2000,1,0,0,1
Tom Barrasso,36,United States,2002,0,1,0,1
Tom Dolan,25,United States,2000,1,1,0,2
Tom Hoff,35,United States,2008,1,0,0,1
Tom Malchow,24,United States,2000,1,0,0,1
Tom Poti,24,United States,2002,0,1,0,1
Tom Wilkens,24,United States,2000,0,0,1,1
Tommy Hannan,20,United States,2000,1,0,0,1
Tony Amonte,31,United States,2002,0,1,0,1
Tony Azevedo,26,United States,2008,0,1,0,1
Tony McQuay,22,United States,2012,0,1,0,1
Torri Edwards,23,United States,2000,0,0,1,1
Travis Dawkins,21,United States,2000,1,0,0,1
Travis Jayner,27,United States,2010,0,0,1,1
Travis Mayer,19,United States,2002,0,1,0,1
Trell Kimmons,27,United States,2012,0,1,0,1
Trevor Cahill,20,United States,2008,0,0,1,1
Trevor Marsicano,20,United States,2010,0,1,0,1
Trey Hardee,28,United States,2012,0,1,0,1
Tricia Dunn-Luoma,31,United States,2006,0,0,1,1
Tricia Dunn-Luoma,27,United States,2002,0,1,0,1
Tristan Gale,21,United States,2002,1,0,0,1
Troy Dumais,32,United States,2012,0,0,1,1
Tyler Clary,23,United States,2012,1,0,0,1
Tyler Hamilton,33,United States,2004,1,0,0,1
Tyler McGill,24,United States,2012,1,0,0,1
Tyson Chandler,29,United States,2012,1,0,0,1
Tyson Gay,30,United States,2012,0,1,0,1
Valerie Fleming,29,United States,2006,0,1,0,1
Venus Williams,20,United States,2000,2,0,0,2
Venus Williams,32,United States,2012,1,0,0,1
Venus Williams,28,United States,2008,1,0,0,1
Vic Wunderle,24,United States,2000,0,1,1,2
Vicky Galindo,24,United States,2008,0,1,0,1
Vin Baker,28,United States,2000,1,0,0,1
Vince Carter,23,United States,2000,1,0,0,1
Vincent Hancock,23,United States,2012,1,0,0,1
Vincent Hancock,19,United States,2008,1,0,0,1
Vonetta Flowers,28,United States,2002,1,0,0,1
Walter Dix,22,United States,2008,0,0,2,2
Will Claye,21,United States,2012,0,1,1,2
Will Simpson,49,United States,2008,1,0,0,1
Wyatt Allen,29,United States,2008,0,0,1,1
Wyatt Allen,25,United States,2004,1,0,0,1
Yolanda Griffith,34,United States,2004,1,0,0,1
Yolanda Griffith,30,United States,2000,1,0,0,1
Zach Parise,25,United States,2010,0,1,0,1
Zach Railey,24,United States,2008,0,1,0,1